NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
06XL03,D,VSTZ,Markland College Katholieke Scholengemeenschap voor Atheneum Havo Mavo Vbo Lwoo,Mauritsweg 20.0 ,4791jl,20,51.6635723,4.5290392,4791JL,KLUNDERT,Noord-Brabant,Closed,Secondary Branch Location,19.0,2000s,2010s,2000-08-01 to 2019-08-01,2000-08-01,2019-08-01,H
06HF,U,VOS,Udens College voor Lyceum Havo Mavo Vbo Lwoo,Maatsestraat 2.0 ,5402vr,2,51.6659763,5.616767599999999,5402VR,UDEN,Noord-Brabant,Active,Regular Secondary School,46.5,1970s,,1978-08-01 to Present,1978-08-01,,H
01IW03,D,VSTS,Dongemond College voor Atheneum Havo en Vmbo,Kempsstraat 15.0 ,4921tb,15,51.6719704,4.7900934,4921TB,MADE,Noord-Brabant,Active,Secondary Technical School,48.5,1970s,,1976-08-01 to Present,1976-08-01,,H
23DB,U,PROS,MET Praktijkonderwijs Waalwijk,Koetshuislaan 1.0 ,5146ba,1,51.6738807,5.0492734,5146BA,WAALWIJK,Noord-Brabant,Active,Practical Education,36.4,1980s,,1988-09-01 to Present,1988-09-01,,H
01GH,U,VOS,W v Oranje Coll Chr SGM v Ath Havo Mavo Vbo Lwoo,De Gaard 4.0 ,5146aw,4,51.6755736,5.0443775,5146AW,WAALWIJK,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
20ST,U,VOS,St Janslyceum School voor Gymnasium Atheneum Havo en Mavo,Sweelinckplein 3.0 ,5216eg,3,51.6783666,5.3177296,5216EG,'S-HERTOGENBOSCH,Noord-Brabant,Active,Regular Secondary School,107.0,1910s,,1918-01-09 to Present,1918-01-09,,H
01GH,U,VOS,W V Oranje Coll Chr Sgm V Ath Havo Mavo Vbo Ivbo,Floris V-laan 11.0 A,5141ba,11,51.68275999999999,5.051805,5141BA,WAALWIJK,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
19RX02,D,VSTS,Merlet Coll Land V Cuyk Havo Mavo Vbo En Ivbo,Langenboomseweg 3.0 ,5451jh,3,51.68505889999999,5.7750146,5451JH,MILL,Noord-Brabant,Active,Secondary Technical School,50.5,1970s,,1974-08-01 to Present,1974-08-01,,H
05AX,U,VOS,Sgm De Overlaat Lto Ito Lhno Ihno Leao Mavo,Eikendonklaan 3.0 ,5143ng,3,51.6852302,5.0964784,5143NG,WAALWIJK,Noord-Brabant,Closed,Regular Secondary School,48.0,1970s,2020s,1975-08-01 to 2023-08-01,1975-08-01,2023-08-01,H
16VK,U,VOS,OMO Scholengroep De Langstraat,Olympiaweg 8.0 b,5143na,8,51.6855264,5.0782028,5143NA,WAALWIJK,Noord-Brabant,Active,Regular Secondary School,109.0,1910s,,1916-01-09 to Present,1916-01-09,,H
