NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00GT22,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Rosestraat 1101.0 ,3071AL,ROTTERDAM,Zuid-Holland,1998-08-01,,True,H,LOC,D,Higher Education Location,Active,26.5
00GT22,D,LOC,higher,locations,Stichting Albeda,Rosestraat 1101.0 ,3071AL,ROTTERDAM,Zuid-Holland,1998-08-01,,True,A,LOC,D,Higher Education Location,Active,26.5
00GT23,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Breitnerstraat 92.0 -94,3015XJ,ROTTERDAM,Zuid-Holland,1998-08-01,2017-05-10,False,H,LOC,D,Higher Education Location,Historical,18.8
00GT24,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Albrandswaardsedijk 74.0 ,3172AA,POORTUGAAL,Zuid-Holland,1999-08-01,,True,H,LOC,D,Higher Education Location,Active,25.5
00GT24,D,LOC,higher,locations,Stichting Albeda,Albrandswaardsedijk 74.0 ,3172AA,POORTUGAAL,Zuid-Holland,1999-08-01,,True,A,LOC,D,Higher Education Location,Active,25.5
00GT25,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Burg Van Haarenlaan 1155.0 ,3118GC,SCHIEDAM,Zuid-Holland,1999-08-01,2005-08-01,False,H,LOC,D,Higher Education Location,Historical,6.0
00GT26,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,De Vloot 207.0 ,3144PK,MAASSLUIS,Zuid-Holland,1999-08-01,,True,H,LOC,D,Higher Education Location,Active,25.5
00GT26,D,LOC,higher,locations,Stichting Albeda,De Vloot 61.0 67 68,3144PC,MAASSLUIS,Zuid-Holland,1999-08-01,,True,A,LOC,D,Higher Education Location,Active,25.5
00GT27,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Karel Doormanstraat 19.0 ,3262PB,OUD-BEIJERLAND,Zuid-Holland,1999-08-01,2004-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT28,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Schoolstraat 9.0 A,3241CT,MIDDELHARNIS,Zuid-Holland,1999-08-01,2021-01-01,False,H,LOC,D,Higher Education Location,Historical,21.4
00GT28,D,LOC,higher,locations,Stichting Albeda,Schoolstraat 9.0 A,3241CT,MIDDELHARNIS,Zuid-Holland,1999-08-01,2021-01-01,False,A,LOC,D,Higher Education Location,Historical,21.4
00GT29,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Slingeplein 8.0 ,3085EZ,ROTTERDAM,Zuid-Holland,1999-08-01,2021-10-01,False,H,LOC,D,Higher Education Location,Historical,22.2
00GT29,D,LOC,higher,locations,Stichting Albeda,Slingeplein 8.0 ,3085EZ,ROTTERDAM,Zuid-Holland,1999-08-01,2021-10-01,False,A,LOC,D,Higher Education Location,Historical,22.2
00GT30,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Symfonielaan 9.0 ,3208SE,SPIJKENISSE,Zuid-Holland,1999-08-01,2000-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
00GT31,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Weena 695.0 ,3013AM,ROTTERDAM,Zuid-Holland,1999-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,2.0
00GT32,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Van Speykstraat 5.0 A,2901BB,CAPELLE AAN DEN IJSSEL,Zuid-Holland,1999-08-01,2008-08-01,False,H,LOC,D,Higher Education Location,Historical,9.0
00GT33,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,De Wetstraat 48.0 A,2987AC,RIDDERKERK,Zuid-Holland,1999-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,2.0
00GT34,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Gordelweg 120.0 ,3037GT,ROTTERDAM,Zuid-Holland,1999-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,2.0
00GT35,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Willem Beukelszoonstraat 62.0 ,3134LZ,VLAARDINGEN,Zuid-Holland,2000-08-01,2008-08-01,False,H,LOC,D,Higher Education Location,Historical,8.0
00GT36,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Moriaanseweg West 2.0 ,3222AD,HELLEVOETSLUIS,Zuid-Holland,2000-08-01,2005-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT37,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Kastanjelaan 3.0 ,3241BH,MIDDELHARNIS,Zuid-Holland,2000-08-01,2009-08-01,False,H,LOC,D,Higher Education Location,Historical,9.0
00GT38,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Lekstraat 2.0 ,3181EG,ROZENBURG ZH,Zuid-Holland,2000-08-01,2012-01-01,False,H,LOC,D,Higher Education Location,Historical,11.4
00GT39,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Nieuwstraat 15.0 ,3011GM,ROTTERDAM,Zuid-Holland,2000-08-01,2004-08-01,False,H,LOC,D,Higher Education Location,Historical,4.0
00GT41,D,LOC,higher,locations,Regionaal Opleidingen Centrum College,Frankendaal 70.0 ,3075XS,ROTTERDAM,Zuid-Holland,2000-08-01,2005-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT42,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Elzendaal 27.0 ,3075LS,ROTTERDAM,Zuid-Holland,2000-08-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,3.0
00GT43,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Jasmijnstraat 4.0 ,2982CK,RIDDERKERK,Zuid-Holland,2000-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,1.0
00GT44,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Westzeedijk 507.0 ,3024EL,ROTTERDAM,Zuid-Holland,2000-08-01,2005-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT45,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Koninginneweg 150.0 ,2982AP,RIDDERKERK,Zuid-Holland,2001-08-01,2012-09-01,False,H,LOC,D,Higher Education Location,Historical,11.1
00GT46,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Bergsingel 132.0 ,3037GM,ROTTERDAM,Zuid-Holland,2001-08-01,2005-08-01,False,H,LOC,D,Higher Education Location,Historical,4.0
00GT47,D,LOC,higher,locations,Reginaal Opleidingen Centrum Albeda College,Elsschotstraat 9.0 ,3076EA,ROTTERDAM,Zuid-Holland,2001-08-01,2013-07-31,False,H,LOC,D,Higher Education Location,Historical,12.0
00GT48,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Rusthoflaan 56.0 ,3034XM,ROTTERDAM,Zuid-Holland,2001-08-01,2006-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT49,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Stoomtramweg 110.0 -112,3071ZH,ROTTERDAM,Zuid-Holland,2001-08-01,2008-05-01,False,H,LOC,D,Higher Education Location,Historical,6.7
00GT50,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Van Langendonckstraat 15.0 A,3076SG,ROTTERDAM,Zuid-Holland,2001-08-01,2017-08-01,False,H,LOC,D,Higher Education Location,Historical,16.0
