NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00JT01,D,VSTS,secondary,locations,Geref Sgm Guido De Bres Vwo Havo Mavo Vbo,Dennenweg 15.0 ,2061HW,BLOEMENDAAL,Noord-Holland,1900-01-01,2006-08-01,False,H,VSTS,D,Secondary Branch Location,Historical,106.6
00JT01,D,VSTS,secondary,locations,Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO,Dennenweg 15.0 ,2061HW,BLOEMENDAAL,Noord-Holland,1900-01-01,2006-08-01,False,H,VSTS,D,Secondary Branch Location,Historical,106.6
00JT03,D,VSTS,secondary,locations,Geref Sgm Guido De Bres Vwo Havo Mavo Vbo Ivbo,Grensweg 2.0 ,6823JH,ARNHEM,Gelderland,1900-01-01,,True,H,VSTS,D,Secondary Branch Location,Active,125.1
00JT03,D,VSTS,secondary,locations,Gereformeerd Scholengemeenschap Guido De Bres Lyceum HAVO MAVO VBO LWOO,Grensweg 2.0 ,6823JH,ARNHEM,Gelderland,1900-01-01,,True,H,VSTS,D,Secondary Branch Location,Active,125.1
00JT03,D,VSTS,secondary,locations,Gereformeerde Scholengemeenschap Guido voor Lyceum HAVO MAVO VBO LWOO,Grensweg 2.0 ,6823JH,ARNHEM,Gelderland,1900-01-01,,True,H,VSTS,D,Secondary Branch Location,Active,125.1
00JT03,D,VSTS,secondary,locations,Gereformeerde Scholengemeenschap Guido voor Lyceum HAVO MAVO VBO LWOO,Grensweg 2.0 ,6823JH,ARNHEM,Gelderland,1900-01-01,,True,A,VSTS,D,Secondary Branch Location,Active,125.1
00KD,U,VOS,secondary,main,Ichthus College voor Christelijk Lyceum HAVO MAVO VBO LWOO,Bruggertstraat 60.0 ,7545AX,ENSCHEDE,Overijssel,1900-01-01,2001-08-01,False,H,VOS,U,Regular Secondary School,Historical,101.6
00KV,U,VOS,secondary,main,Katholiek Scholengemeenschap voor Ongedeeld HAVO MAVO Lyceum,Stijn Streuvelslaan 42.0 ,4873EB,ETTEN-LEUR,Noord-Brabant,1967-04-20,,True,H,VOS,U,Regular Secondary School,Active,57.8
00KV,U,VOS,secondary,main,KSE (Katholieke Scholengemeenschap Etten-Leur e.o.),Stijn Streuvelslaan 42.0 ,4873EB,ETTEN-LEUR,Noord-Brabant,1967-04-20,,True,H,VOS,U,Regular Secondary School,Active,57.8
00KV,U,VOS,secondary,main,KSE (Katholieke Scholengemeenschap Etten-Leur e.o.),Stijn Streuvelslaan 42.0 ,4873EB,ETTEN-LEUR,Noord-Brabant,1967-04-20,,True,A,VOS,U,Regular Secondary School,Active,57.8
