NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
22BO03,D,LOC,Hklt,Robonsbosweg 3.0 ,1816MK,ALKMAAR,Noord-Holland,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,52.639944,4.723052
22BO08,D,LOC,Hklt,Lovensdijkstraat 61.0 ,4818AJ,BREDA,Noord-Brabant,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,51.5856351,4.7924767
22BO11,D,LOC,Hklt,Nieuwe Landstraat 12.0 ,2021DE,HAARLEM,Noord-Holland,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,52.3908459,4.6448064
22BO13,D,LOC,Hklt,Molenstraat 191.0 ,5701KD,HELMOND,Noord-Brabant,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,51.4780708,5.6615528
22BO15,D,LOC,Hklt,Waterleidingstraat 2.0 ,5244PE,ROSMALEN,Noord-Brabant,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,51.7222532,5.4066963
22BO18,D,LOC,Hklt,Ten Oeverstraat 68.0 ,8012EW,ZWOLLE,Overijssel,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,52.5061664,6.1072187
22BO23,D,LOC,Hklt,Oude Markt 5.0 ,6131EN,SITTARD,Limburg,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,50.9992895,5.8698941
22JA01,D,LOC,P T H Zwolle,Campus 2.0 -6,8017CA,ZWOLLE,Overijssel,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,52.4998414,6.0805269
22JA02,D,LOC,P T H Amsterdam,Schipluidenlaan 22.0 ,1062HE,AMSTERDAM,Noord-Holland,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,52.35662070000001,4.838598699999999
22JA03,D,LOC,P T H Rotterdam,G.J. de Jonghweg 4.0 ,3015GG,ROTTERDAM,Zuid-Holland,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,51.91007,4.4625194
22JA04,D,LOC,P T H Groningen,Petrus Driessenstraat 3.0 ,9714CA,GRONINGEN,Groningen,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,53.2278098,6.5677055
22JA07,D,LOC,P T H Leeuwarden,Molenstraat 6.0 ,8913BC,LEEUWARDEN,Friesland,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,50.8845965,5.9913693
22JA08,D,LOC,P T H Apeldoorn,Condorweg 10.0 ,7332AC,APELDOORN,Gelderland,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,52.2069483,5.976712099999999
22JA11,D,LOC,P T H Nijmegen,Van Schuylenburgweg 3.0 ,6538LH,NIJMEGEN,Gelderland,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,51.81753630000001,5.7985875
22JA12,D,LOC,P T H Tilburg,Reitse Hoevenstraat 12.0 ,5042EH,TILBURG,Noord-Brabant,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,51.5738644,5.0629541
22JA14,D,LOC,P T H Nieuwegein,Korenbloemstraat 2.0 ,3434EB,NIEUWEGEIN,Utrecht,Closed,Higher Education Branch,22.0,1980s,2010s,1988-01-01 to 2010-01-01,1988-01-01,2010-01-01,51.3195691,5.3542362
22BO,U,HBOS,Hogeschool Katholieke Leergangen Tilburg,Pyreneeenweg 8.0 ,5022DN,TILBURG,Noord-Brabant,Closed,University of Applied Sciences,23.7,1980s,2010s,1988-01-01 to 2011-09-01,1988-01-01,2011-09-01,51.5396467,5.074009
22BO,U,HBOS,Hogeschool Katholieke Leergangen Tilburg,Professor Goossenslaan 1.0 -01,5022DM,TILBURG,Noord-Brabant,Closed,University of Applied Sciences,23.7,1980s,2010s,1988-01-01 to 2011-09-01,1988-01-01,2011-09-01,51.5390098,5.0777613
22BO06,D,LOC,Hklt,Burg Stulemeijerlaan 3.0 ,4611EH,BERGEN OP ZOOM,Noord-Brabant,Closed,Higher Education Branch,23.7,1980s,2010s,1988-01-01 to 2011-09-01,1988-01-01,2011-09-01,51.4978253,4.2827227
22BO09,D,LOC,Hklt,Louis Couperusplein 30.0 ,2514HP,'S-GRAVENHAGE,Zuid-Holland,Closed,Higher Education Branch,23.7,1980s,2010s,1988-01-01 to 2011-09-01,1988-01-01,2011-09-01,52.0843382,4.3097026
22JA,U,HBOS,Fontys Pedagogisch Technische Hogeschool,Horsten 8.0 - 10,5612AX,EINDHOVEN,Noord-Brabant,Closed,University of Applied Sciences,23.7,1980s,2010s,1988-01-01 to 2011-09-01,1988-01-01,2011-09-01,51.4479411,5.4960803
22JA05,D,LOC,P T H Wageningen,Bernhardstraat 12.0 ,6707CM,WAGENINGEN,Gelderland,Closed,Higher Education Branch,23.7,1980s,2010s,1988-01-01 to 2011-09-01,1988-01-01,2011-09-01,51.9697007,5.662352900000001
